Date,Open,High,Low,Close,Adj Close,Volume
7/1/15,53.860001,59.310001,53.310001,57.93,55.112503,177871800
8/1/15,58.619999,59.32,42.049999,55.950001,53.228802,254865100
9/1/15,53,58.959999,52.740002,56.84,54.224617,187458800
10/1/15,56.990002,64,55.889999,62.57,59.690956,194690100
11/1/15,63.009998,63.189999,59.5,61.389999,58.565254,141530900
12/1/15,61.080002,62.540001,58.27,60.029999,57.453255,174837100
1/1/16,58.77,60.880001,54.939999,60.77,58.161484,262629000
2/1/16,60.66,61.790001,52.630001,58.209999,55.711372,223734600
3/1/16,58.77,60.450001,56.57,59.700001,57.324139,180465500
4/1/16,59.610001,61.639999,55.290001,56.23,53.992237,197505700
5/1/16,56.290001,57.599998,54.189999,54.889999,52.705563,164771800
6/1/16,54.759998,57.189999,53.41,57.119999,55.038719,186883000
7/1/16,57.040001,58.84,56.060001,58.049999,55.934834,203675300
8/1/16,58,58.049999,54.849998,56.23,54.181152,179246700
9/1/16,56.299999,56.650002,52.900002,54.139999,52.348976,192708700
10/1/16,54.099998,54.459999,52.59,53.07,51.314377,148493600
11/1/16,53.139999,58.25,50.84,57.970001,56.052273,236969400
12/1/16,57.34,59.540001,55.400002,55.52,53.931999,165840600
1/1/17,55.91,59,54.880001,55.220001,53.640575,188742200
2/1/17,55.490002,57.849998,53.810001,56.869999,55.243378,195815400
3/1/17,57.27,58.66,54.09,58.389999,56.975494,225544200
4/1/17,58.279999,61.939999,57.380001,60.060001,58.605038,181309100
5/1/17,60,63.610001,58.869999,63.610001,62.069038,160468800
6/1/17,63.509998,64.870003,57.959999,58.310001,57.131813,170362600
7/1/17,58.900002,59.66,53.41,53.98,52.889297,221103700
8/1/17,54.57,56.119999,52.580002,54.860001,53.751518,235572800
9/1/17,54.900002,55.599998,53.049999,53.709999,52.862316,184484300
10/1/17,53.860001,56.43,53.66,54.84,53.974483,178855400
11/1/17,55.099998,58.139999,54.049999,57.82,56.907452,215270200
12/1/17,57.5,60.049999,56.459999,57.43,56.823044,175171000
1/1/18,57.950001,61.939999,56.549999,56.810001,56.209599,242630900
2/1/18,56.279999,57.919998,53.560001,57.099998,56.496529,238536700
3/1/18,57,60.700001,55.68,57.889999,57.588856,185897700
4/1/18,57.52,60.18,55.380001,57.57,57.270519,178446500
5/1/18,57.669998,59.040001,55.540001,56.669998,56.375202,150366800
6/1/18,56.84,57.939999,47.369999,48.849998,48.849998,338221100
7/1/18,48.639999,51.720001,48.400002,51.619999,51.619999,194262300
