Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,107.099998,107.419998,96.080002,97.820000,88.555542,12659900
2015-08-01,96.980003,99.550003,82.500000,90.769997,82.173248,19627400
2015-09-01,90.800003,93.440002,82.199997,84.760002,76.732460,11605100
2015-10-01,85.760002,97.000000,83.779999,93.809998,86.837769,9974900
2015-11-01,93.940002,99.849998,90.180000,94.260002,87.254333,8497700
2015-12-01,94.160004,94.910004,81.050003,83.120003,76.942276,21390600
2016-01-01,82.889999,83.750000,68.639999,79.980003,74.650162,16963500
2016-02-01,78.669998,80.449997,72.199997,78.209999,72.998123,16775200
2016-03-01,78.970001,89.660004,77.739998,85.820000,80.100990,6860200
2016-04-01,84.370003,96.570000,82.839996,94.639999,89.010750,5901800
2016-05-01,94.540001,94.739998,88.180000,93.029999,87.496513,4818500
2016-06-01,92.199997,98.269997,89.199997,95.120003,89.462196,5678600
2016-07-01,95.000000,97.470001,90.889999,93.290001,88.247070,6938900
2016-08-01,92.250000,98.400002,89.209999,95.059998,89.921387,5341600
2016-09-01,94.669998,99.540001,91.019997,97.690002,92.409210,5776400
2016-10-01,97.720001,99.820000,93.910004,94.070000,89.571571,3623100
2016-11-01,94.580002,104.050003,91.900002,103.250000,98.312576,5816400
2016-12-01,105.000000,109.080002,103.059998,106.300003,101.216736,6019600
2017-01-01,105.690002,106.690002,100.120003,101.050003,96.739235,4987500
2017-02-01,101.669998,102.400002,97.309998,98.370003,94.173561,6222500
2017-03-01,99.070000,100.800003,93.180000,96.709999,92.584373,6799200
2017-04-01,96.660004,98.839996,92.320000,93.330002,89.902367,5195600
2017-05-01,93.239998,94.769997,89.010002,89.550003,86.261185,7570200
2017-06-01,89.809998,92.349998,86.720001,88.500000,85.249741,7906500
2017-07-01,88.879997,91.599998,86.080002,90.779999,88.036957,4928100
2017-08-01,90.849998,91.150002,83.800003,85.720001,83.129845,6862400
2017-09-01,85.800003,94.430000,85.559998,93.580002,90.752350,5328800
2017-10-01,92.580002,94.099998,90.150002,92.580002,90.841988,4466500
2017-11-01,93.169998,96.400002,91.370003,94.489998,92.716125,5224100
2017-12-01,95.150002,99.669998,93.320000,98.949997,97.092392,4279200
2018-01-01,99.309998,107.199997,98.870003,102.070000,100.790672,7932500
2018-02-01,102.269997,103.279999,87.830002,91.110001,89.968040,6939200
2018-03-01,91.000000,94.580002,89.690002,92.370003,91.212250,6120100
2018-04-01,92.000000,102.589996,88.879997,101.320000,100.698181,6563700
2018-05-01,100.839996,109.790001,99.510002,104.959999,104.315842,6778700
2018-06-01,105.300003,106.839996,101.720001,105.080002,104.435104,4880400
