Date,Open,High,Low,Close,Adj Close,Volume
7/1/15,68.730003,70.389999,61.310001,68.970001,68.970001,75146200
8/1/15,69.5,71.110001,54.5,62.150002,62.150002,81019600
9/1/15,60.790001,61.689999,46.23,48.299999,48.299999,108893200
10/1/15,49,54.950001,44.25,49.52,49.52,65449200
11/1/15,49.279999,51.959999,43.959999,47.549999,47.549999,57026600
12/1/15,48.139999,48.139999,35.09,37.25,37.25,90066500
1/1/16,37.009998,39,26.77,30.049999,30.049999,70135900
2/1/16,29.33,37.57,22.799999,35.75,35.75,104712900
3/1/16,36.009998,38.84,31.76,33.830002,33.830002,75443600
4/1/16,33.080002,39.75,32.77,38.880001,38.880001,51156700
5/1/16,39.259998,39.400002,31.709999,32.130001,32.130001,47699200
6/1/16,32.130001,38.150002,31.02,37.549999,37.549999,61421300
7/1/16,37.34,42.07,35.860001,41.830002,41.830002,48052000
8/1/16,41.689999,45.939999,38.75,42.900002,42.900002,45409900
9/1/16,42.639999,46,41.720001,43.599998,43.599998,43004500
10/1/16,42.450001,44.450001,37.16,37.700001,37.700001,41598600
11/1/16,38,42.169998,35.07,40.860001,40.860001,56585500
12/1/16,41.75,44.029999,40.639999,41.43,41.43,48404200
1/1/17,41.459999,50.529999,41.459999,47.650002,47.650002,52970400
2/1/17,47.810001,50,46,48.049999,48.049999,39889600
3/1/17,48.32,48.759998,43.200001,47.27,47.27,37092900
4/1/17,47.110001,49.200001,45.150002,45.349998,45.349998,31006300
5/1/17,45.150002,51.41,43.790001,48.720001,48.720001,49521400
6/1/17,49,50.150002,45.689999,48.709999,48.709999,34251500
7/1/17,48.799999,49.59,44.650002,45.200001,45.200001,31117700
8/1/17,45.380001,46.150002,40.360001,42.790001,42.790001,46851500
9/1/17,43.150002,45.709999,41.77,45.040001,45.040001,46029200
10/1/17,44.549999,48.490002,43.830002,46.740002,46.740002,45078700
11/1/17,47.18,51.509998,46.740002,48.32,48.32,42036000
12/1/17,48.77,54.830002,46,53.84,53.84,43581300
1/1/18,53.959999,60.220001,53.25,56.560001,56.560001,44946100
2/1/18,56,58.889999,52.52,52.52,52.52,41924700
3/1/18,52.77,55.049999,50.080002,53.450001,53.450001,44144100
4/1/18,53.689999,59.119999,52.369999,58.16,58.16,42157300
5/1/18,58.130001,68.040001,57.439999,66.620003,66.620003,59579200
6/1/18,67.040001,69.5,63.040001,65.190002,65.190002,51373000
7/1/18,64.360001,66.68,60.439999,64.349998,64.349998,35812600
