Date,Open,High,Low,Close,Adj Close,Volume
7/1/15,68.120003,70.610001,65.209999,68.529999,62.836098,325426300
8/1/15,68.589996,69.419998,50.07,64.099998,59.158302,372963100
9/1/15,62.849998,64.639999,58.73,60.970001,56.269608,353379200
10/1/15,61.119999,65.830002,58.529999,64.25,59.296741,332311400
11/1/15,64.449997,69.029999,64.389999,66.68,61.983433,248014800
12/1/15,67.339996,68,63.509998,66.029999,61.379223,316286300
1/1/16,63.950001,64.129997,54.66,59.5,55.309151,470090500
2/1/16,59.16,59.650002,52.5,56.299999,52.685623,477781500
3/1/16,56.759998,60.970001,56.669998,59.220001,55.418167,356701600
4/1/16,59.02,64.660004,57.07,63.200001,59.142658,344474900
5/1/16,63.689999,66.199997,60.59,65.269997,61.531971,283564200
6/1/16,64.760002,65.919998,57.049999,62.139999,58.581234,394710800
7/1/16,61.66,64.980003,58.759998,63.970001,60.306423,283798300
8/1/16,64.150002,67.769997,63.380001,67.5,64.129623,261217500
9/1/16,67.639999,67.900002,65.110001,66.589996,63.265068,315475600
10/1/16,66.349998,69.769997,66.099998,69.260002,65.801758,303809400
11/1/16,69.480003,80.529999,67.639999,80.169998,76.720673,457634900
12/1/16,80.650002,87.389999,80.650002,85.489998,81.811798,378016700
1/1/17,87.339996,88.169998,83.029999,84.629997,80.9888,343035100
2/1/17,85.540001,91.339996,84.160004,90.620003,87.200928,271267200
3/1/17,92.790001,93.980003,85.230003,87.839996,84.52581,371669000
4/1/17,87.989998,89.129997,84.360001,87,83.717506,321112200
5/1/17,87.360001,88.089996,81.639999,82.150002,79.962631,283639500
6/1/17,82.459999,92.650002,81.650002,91.400002,88.966331,333861800
7/1/17,91.559998,94.510002,90.32,91.800003,89.355675,271473000
8/1/17,92.489998,95.220001,90.160004,90.889999,88.956535,253144800
9/1/17,91.25,95.879997,88.080002,95.510002,93.478264,250922800
10/1/17,95.769997,102.419998,94.959999,100.610001,98.469772,259433200
11/1/17,101.099998,106.660004,95.949997,104.519997,102.894562,256086400
12/1/17,104.900002,108.459999,102.199997,106.940002,105.276939,284432100
1/1/18,107.629997,117.349998,106.809998,115.669998,113.87117,304906400
2/1/18,115.769997,119.330002,103.980003,115.5,114.296127,354632300
3/1/18,115.480003,118.75,106.650002,109.970001,108.823776,321513800
4/1/18,109.959999,115.150002,106.080002,108.779999,107.646172,340100300
5/1/18,108.449997,114.730003,104.959999,107.010002,106.431625,273032700
6/1/18,108.339996,111.910004,103.110001,104.199997,103.63681,307240000
7/1/18,103.720001,115.519997,102.199997,115.18,114.557465,244300200
