Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,55.840000,56.080002,52.480000,55.099998,48.696793,8345700
2015-08-01,54.820000,55.790001,47.169998,51.000000,45.073261,12547500
2015-09-01,50.000000,52.049999,49.000000,50.970001,45.046749,7183000
2015-10-01,51.340000,54.610001,50.759998,53.549999,47.558643,6687000
2015-11-01,53.700001,54.070000,51.299999,52.299999,46.448502,7712300
2015-12-01,52.869999,53.250000,50.509998,51.099998,45.382763,8528800
2016-01-01,50.459999,50.730000,45.130001,48.660000,43.897163,6598200
2016-02-01,48.549999,49.820000,46.349998,49.119999,44.312138,4955300
2016-03-01,49.880001,53.900002,49.820000,53.509998,48.272446,5668500
2016-04-01,52.680000,55.349998,52.529999,54.630001,49.356316,8203200
2016-05-01,54.910000,55.160000,52.549999,53.700001,48.516094,4750900
2016-06-01,53.669998,55.669998,50.740002,54.060001,48.841347,7959300
2016-07-01,54.200001,56.380001,52.740002,56.240002,51.270649,4446000
2016-08-01,56.349998,57.580002,55.380001,55.930000,50.988041,6271300
2016-09-01,56.180000,57.520000,54.509998,56.169998,51.206833,5748900
2016-10-01,55.730000,56.150002,52.770000,53.450001,49.057777,5439200
2016-11-01,53.480000,53.669998,50.099998,51.369999,47.148693,15599400
2016-12-01,51.180000,52.130001,48.610001,49.570000,45.496609,12104400
2017-01-01,49.730000,51.270000,49.619999,51.230000,48.591103,17039300
2017-02-01,51.340000,53.070000,51.230000,52.599998,49.890530,8869700
2017-03-01,52.599998,53.720001,51.660000,53.259998,50.516533,9234500
2017-04-01,53.209999,55.029999,53.060001,54.459999,51.654720,9227000
2017-05-01,54.680000,56.650002,54.509998,56.439999,53.532734,8114600
2017-06-01,56.900002,57.980000,55.980000,56.250000,53.352516,9743200
2017-07-01,56.220001,58.590000,55.400002,58.549999,55.808395,6132600
2017-08-01,58.750000,59.330002,57.759998,59.290001,56.513744,7665000
2017-09-01,59.369999,60.759998,58.630001,59.410000,56.628128,6389000
2017-10-01,59.549999,60.660000,59.099998,59.660000,57.035847,7286900
2017-11-01,59.730000,60.869999,59.299999,60.049999,57.408688,11893400
2017-12-01,60.430000,61.730000,59.040001,60.500000,57.838898,7599800
2018-01-01,60.939999,65.199997,60.900002,63.820000,62.941246,11121700
2018-02-01,63.450001,63.619999,57.160000,59.320000,58.503208,11196600
2018-03-01,59.540001,61.369999,58.820000,60.919998,60.081177,10120600
2018-04-01,60.720001,61.869999,59.860001,61.240002,60.474110,7667300
2018-05-01,61.180000,62.189999,59.860001,60.389999,59.634735,7674100
2018-06-01,60.570000,61.740002,57.250000,58.080002,57.353630,12394700
